algorithm,n,block,median_algorithm_ms,q1_algorithm_ms,q3_algorithm_ms,median_wall_ms
Shared compact,1048576,128,0.480960011,0.480224013,0.483040005,2.9975
Shared compact,4194304,128,1.77983999,1.77574396,1.78857601,10.2748
Shared compact,16777216,128,6.97692823,6.968256,6.98275185,36.9698
Shared naive,256,128,0.0122880004,0.0112640001,0.0122880004,0.3083
Shared naive,1024,128,0.0122880004,0.0112640001,0.0122880004,0.301
Shared naive,10000,128,0.0133119998,0.0122880004,0.0133119998,0.3252
Shared naive,65536,128,0.048928,0.047456,0.0613120012,0.4611
Shared naive,262144,128,0.0865600035,0.084863998,0.0936959982,1.0268
Shared naive,1000000,128,0.194079995,0.192864001,0.203648001,2.3731
Shared naive,1048576,128,0.200320005,0.199647993,0.206527993,2.438
Shared naive,4194304,128,0.691968024,0.687968016,0.705247998,7.8406
Shared naive,16777216,128,2.6361599,2.63132811,2.64166403,30.2981
Shared unpadded,256,64,0.0174080003,0.016384,0.0399359986,0.399
Shared unpadded,1024,64,0.016384,0.016384,0.0174080003,0.3096
Shared unpadded,10000,64,0.0174080003,0.0174080003,0.0174080003,0.3283
Shared unpadded,65536,64,0.0599999987,0.0588480011,0.0629440024,0.5504
Shared unpadded,262144,64,0.106367998,0.105792001,0.107391998,1.0116
Shared unpadded,1000000,64,0.243744001,0.242175996,0.249952003,2.4306
Shared unpadded,1048576,64,0.253663987,0.252640009,0.258688003,2.5212
Shared unpadded,4194304,64,0.898751974,0.890688002,0.914175987,8.1631
Shared unpadded,16777216,64,3.38937593,3.38537598,3.39615989,30.6381
Thrust,256,0,0.0215039998,0.0204799995,0.0225280002,0.3505
Thrust,1024,0,0.0244479999,0.0204799995,0.0348160006,0.4102
Thrust,10000,0,0.027648,0.020544,0.0389119983,0.4106
Thrust,65536,0,0.0392320007,0.0387200005,0.0406720005,0.49
Thrust,262144,0,0.247648001,0.242047995,0.271712005,1.1141
Thrust,1000000,0,0.26156801,0.229791999,0.294176012,2.4918
Thrust,1048576,0,0.254272014,0.240160003,0.277824014,2.5515
Thrust,4194304,0,0.591296017,0.578047991,0.642239988,8.2996
Thrust,16777216,0,1.98652804,1.81177604,2.05564809,31.7072
