kind,algorithm,n,block,repeat,algorithm_ms,wall_ms
scan,Shared Blelloch,10000,256,13,0.0204799995,0.3121
scan,Shared Blelloch,10000,256,14,0.0204799995,0.3278
scan,Shared Blelloch,10000,128,0,0.0184320007,0.3338
scan,Shared Blelloch,10000,128,1,0.0184320007,0.3555
scan,Shared Blelloch,10000,128,2,0.0174080003,0.3193
scan,Shared Blelloch,10000,128,3,0.0184320007,0.325
scan,Shared Blelloch,10000,128,4,0.0184320007,0.324
scan,Shared Blelloch,10000,128,5,0.0184320007,0.3166
scan,Shared Blelloch,10000,128,6,0.0184320007,0.311
scan,Shared Blelloch,10000,128,7,0.0184320007,0.3105
scan,Shared Blelloch,10000,128,8,0.0184320007,0.3198
scan,Shared Blelloch,10000,128,9,0.0184320007,0.3171
scan,Shared Blelloch,10000,128,10,0.0184320007,0.323
scan,Shared Blelloch,10000,128,11,0.0184320007,0.3107
scan,Shared Blelloch,10000,128,12,0.0184320007,0.3174
scan,Shared Blelloch,10000,128,13,0.0184320007,0.3323
scan,Shared Blelloch,10000,128,14,0.0184320007,0.3299
scan,Shared Blelloch,10000,32,0,0.0255999994,0.3346
scan,Shared Blelloch,10000,32,1,0.0255999994,0.3293
scan,Shared Blelloch,10000,32,2,0.0255999994,0.3223
scan,Shared Blelloch,10000,32,3,0.0266239997,0.3577
scan,Shared Blelloch,10000,32,4,0.0255999994,0.593
scan,Shared Blelloch,10000,32,5,0.0696640015,0.5376
scan,Shared Blelloch,10000,32,6,0.0255999994,0.3856
scan,Shared Blelloch,10000,32,7,0.0255999994,0.3864
scan,Shared Blelloch,10000,32,8,0.0255999994,0.3562
scan,Shared Blelloch,10000,32,9,0.0255999994,0.3711
scan,Shared Blelloch,10000,32,10,0.0255999994,0.3412
scan,Shared Blelloch,10000,32,11,0.0255999994,0.3509
scan,Shared Blelloch,10000,32,12,0.0255999994,0.3436
scan,Shared Blelloch,10000,32,13,0.0255999994,0.3213
scan,Shared Blelloch,10000,32,14,0.0255999994,0.3216
scan,Shared Blelloch,10000,1024,0,0.0327679999,0.3286
scan,Shared Blelloch,10000,1024,1,0.0327679999,0.3309
scan,Shared Blelloch,10000,1024,2,0.0327679999,0.3306
scan,Shared Blelloch,10000,1024,3,0.0327679999,0.3277
scan,Shared Blelloch,10000,1024,4,0.0327679999,0.3266
scan,Shared Blelloch,10000,1024,5,0.0327679999,0.328
scan,Shared Blelloch,10000,1024,6,0.0327679999,0.3336
scan,Shared Blelloch,10000,1024,7,0.0327679999,0.3251
scan,Shared Blelloch,10000,1024,8,0.0327679999,0.3265
scan,Shared Blelloch,10000,1024,9,0.0327679999,0.3264
scan,Shared Blelloch,10000,1024,10,0.0327679999,0.327
scan,Shared Blelloch,10000,1024,11,0.0327679999,0.3397
scan,Shared Blelloch,10000,1024,12,0.0327679999,0.3311
scan,Shared Blelloch,10000,1024,13,0.0337920003,0.3326
scan,Shared Blelloch,10000,1024,14,0.0327679999,0.3345
scan,Shared Blelloch,10000,64,0,0.0184320007,0.3069
scan,Shared Blelloch,10000,64,1,0.0174080003,0.3074
scan,Shared Blelloch,10000,64,2,0.0174080003,0.308
scan,Shared Blelloch,10000,64,3,0.0184320007,0.3147
scan,Shared Blelloch,10000,64,4,0.0184320007,0.3104
scan,Shared Blelloch,10000,64,5,0.0184320007,0.3077
scan,Shared Blelloch,10000,64,6,0.0184320007,0.3305
scan,Shared Blelloch,10000,64,7,0.0194559991,0.3299
scan,Shared Blelloch,10000,64,8,0.0184320007,0.3332
scan,Shared Blelloch,10000,64,9,0.0194559991,0.3301
scan,Shared Blelloch,10000,64,10,0.0194559991,0.3286
scan,Shared Blelloch,10000,64,11,0.0194559991,0.3386
scan,Shared Blelloch,10000,64,12,0.0184320007,0.4041
scan,Shared Blelloch,10000,64,13,0.0194559991,0.351
scan,Shared Blelloch,10000,64,14,0.0194559991,0.3332
scan,Shared Blelloch,10000,512,0,0.0245760009,0.4638
scan,Shared Blelloch,10000,512,1,0.0235520005,0.4102
scan,Shared Blelloch,10000,512,2,0.0235520005,0.3829
scan,Shared Blelloch,10000,512,3,0.0235520005,0.3755
scan,Shared Blelloch,10000,512,4,0.0235520005,0.3329
scan,Shared Blelloch,10000,512,5,0.0245760009,0.357
scan,Shared Blelloch,10000,512,6,0.0235520005,0.4111
scan,Shared Blelloch,10000,512,7,0.0235520005,0.4131
scan,Shared Blelloch,10000,512,8,0.0235520005,0.4098
scan,Shared Blelloch,10000,512,9,0.0245760009,0.336
scan,Shared Blelloch,10000,512,10,0.0235520005,0.3243
scan,Shared Blelloch,10000,512,11,0.0235520005,0.3171
scan,Shared Blelloch,10000,512,12,0.0235520005,0.3376
